variant,revenue_month,signal_date,delay_trading_days,exec_date,exit_date,holding_days,market,stock_id,stock_name,industry,sur_3m,pre_ret_20d,avg_turnover_20d,margin_balance_pct_chg_5d,margin_deleveraging_intensity,no_new_10d_low,abnormal_turnover,entry_open,entry_close,exit_close,possible_limit_up_nonfill,gross_return,net_return
frr1_basic_deleveraging,2024-09,2024-10-11,1,2024-10-14,2024-10-28,10,otc,5386,青雲,電腦及週邊設備業,1.9103537669106951,-0.02717391304347827,171282510.0,0.0,0.1388888888888889,True,1.2242906411096006,90.5,92.4,99.7,False,0.10165745856353592,0.09165745856353592
frr1_basic_deleveraging,2024-09,2024-10-11,1,2024-10-14,2024-11-05,15,otc,5386,青雲,電腦及週邊設備業,1.9103537669106951,-0.02717391304347827,171282510.0,0.0,0.1388888888888889,True,1.2242906411096006,90.5,92.4,91.3,False,0.008839779005524795,-0.0011602209944752053
frr1_basic_deleveraging,2024-09,2024-10-11,1,2024-10-14,2024-11-12,20,otc,5386,青雲,電腦及週邊設備業,1.9103537669106951,-0.02717391304347827,171282510.0,0.0,0.1388888888888889,True,1.2242906411096006,90.5,92.4,91.0,False,0.005524861878453136,-0.004475138121546865
frr1_basic_deleveraging,2024-09,2024-10-11,2,2024-10-15,2024-10-29,10,otc,5386,青雲,電腦及週邊設備業,1.9103537669106951,-0.02717391304347827,171282510.0,0.0,0.1388888888888889,True,1.2242906411096006,93.2,88.3,100.5,False,0.07832618025751059,0.0683261802575106
frr1_basic_deleveraging,2024-09,2024-10-11,2,2024-10-15,2024-11-06,15,otc,5386,青雲,電腦及週邊設備業,1.9103537669106951,-0.02717391304347827,171282510.0,0.0,0.1388888888888889,True,1.2242906411096006,93.2,88.3,95.2,False,0.02145922746781115,0.011459227467811148
frr1_basic_deleveraging,2024-09,2024-10-11,2,2024-10-15,2024-11-13,20,otc,5386,青雲,電腦及週邊設備業,1.9103537669106951,-0.02717391304347827,171282510.0,0.0,0.1388888888888889,True,1.2242906411096006,93.2,88.3,88.3,False,-0.05257510729613735,-0.06257510729613734
frr1_basic_deleveraging,2024-09,2024-10-11,3,2024-10-16,2024-10-30,10,otc,5386,青雲,電腦及週邊設備業,1.9103537669106951,-0.02717391304347827,171282510.0,0.0,0.1388888888888889,True,1.2242906411096006,88.2,88.5,104.5,False,0.1848072562358276,0.1748072562358276
frr1_basic_deleveraging,2024-09,2024-10-11,3,2024-10-16,2024-11-07,15,otc,5386,青雲,電腦及週邊設備業,1.9103537669106951,-0.02717391304347827,171282510.0,0.0,0.1388888888888889,True,1.2242906411096006,88.2,88.5,94.5,False,0.0714285714285714,0.061428571428571395
frr1_basic_deleveraging,2024-09,2024-10-11,3,2024-10-16,2024-11-14,20,otc,5386,青雲,電腦及週邊設備業,1.9103537669106951,-0.02717391304347827,171282510.0,0.0,0.1388888888888889,True,1.2242906411096006,88.2,88.5,86.6,False,-0.018140589569161092,-0.028140589569161094
frr1_basic_deleveraging,2024-11,2024-12-11,1,2024-12-12,2024-12-26,10,otc,6223,旺矽,半導體業,1.3249867934005057,0.06019656019656017,2558888300.0,0.0,0.13157894736842105,True,1.1521540159019728,872.0,863.0,889.0,False,0.019495412844036775,0.009495412844036774
