variant,delay_trading_days,holding_days,cost,months_cash_counted,active_months,trades,avg_positions_all_months,total_return,ann_return,sharpe_cash_counted,mdd,monthly_win_rate,best_month,worst_month
frr1_basic_deleveraging,1,10,0.01,25,21,42,1.68,0.1097001876319299,0.051232348553456486,0.32163951078383707,-0.2203233999059152,0.44,0.17352281929193802,-0.12815522123838785
frr1_basic_deleveraging,1,15,0.01,25,21,42,1.68,0.27706718747896675,0.12455991315396098,0.4873167611188812,-0.27708387516620026,0.44,0.3562211645290472,-0.2141668998027669
frr1_basic_deleveraging,1,20,0.01,25,21,42,1.68,1.593917198755348,0.5801522438172375,1.2632526390951984,-0.18685019351385246,0.56,0.43698324597818766,-0.18685019351385249
frr1_basic_deleveraging,2,10,0.01,25,21,42,1.68,0.27748250908325045,0.12473544579793283,0.5810836961244015,-0.21335411919111014,0.48,0.15465970567094164,-0.13841555977229603
frr1_basic_deleveraging,2,15,0.01,25,21,42,1.68,0.18648513643481746,0.08554018493554394,0.3883107256050617,-0.23303056324125904,0.52,0.3601244656300837,-0.18687293555414997
frr1_basic_deleveraging,2,20,0.01,25,21,42,1.68,1.577126655856854,0.5752343233381811,1.1571799642931913,-0.275013150556886,0.56,0.46262891083115804,-0.19950742724849366
frr1_basic_deleveraging,3,10,0.01,25,21,42,1.68,0.5339862849678136,0.22798852578615936,0.8665025027600539,-0.15181966262456714,0.48,0.18359248972162057,-0.1000739041794088
frr1_basic_deleveraging,3,15,0.01,25,21,42,1.68,0.19770844809293897,0.09045697355874593,0.4114236327780621,-0.2720329439998468,0.52,0.2986004676285428,-0.19363483047746333
frr1_basic_deleveraging,3,20,0.01,25,21,42,1.68,1.8477241345193236,0.652566709013823,1.3198752611013058,-0.2225168155560323,0.52,0.38511913452180574,-0.13183402120558443
frr2_no_catch_falling_knife,1,10,0.01,25,18,36,1.44,0.28612674526215476,0.12838215520933605,0.6163516108221463,-0.20134390602484475,0.44,0.17352281929193802,-0.12815522123838785
frr2_no_catch_falling_knife,1,15,0.01,25,18,36,1.44,0.00663255137935459,0.0031781529905337003,0.16849025088236713,-0.27708387516620003,0.28,0.3562211645290472,-0.2141668998027669
frr2_no_catch_falling_knife,1,20,0.01,25,18,36,1.44,0.9035685882717301,0.36204950980054273,0.9373216484854697,-0.1796057693072025,0.44,0.43698324597818766,-0.1655665524067011
frr2_no_catch_falling_knife,2,10,0.01,25,18,36,1.44,0.42585548004981844,0.18564928673031833,0.7915455583732324,-0.20749829720965662,0.48,0.15465970567094164,-0.13841555977229603
frr2_no_catch_falling_knife,2,15,0.01,25,18,36,1.44,-0.03945645388067043,-0.019137371389037483,0.10573531940435417,-0.31320493615144673,0.4,0.3601244656300837,-0.18687293555414997
frr2_no_catch_falling_knife,2,20,0.01,25,18,36,1.44,0.9497784098030844,0.37782139227565636,0.8911402400556255,-0.2573965754903149,0.44,0.46262891083115804,-0.18993421779581737
frr2_no_catch_falling_knife,3,10,0.01,25,18,36,1.44,0.787061955792755,0.3213778194274164,1.176315837962065,-0.15181966262456703,0.44,0.18359248972162057,-0.1000739041794088
frr2_no_catch_falling_knife,3,15,0.01,25,18,36,1.44,0.0463493880292456,0.021985720698014966,0.22121773362624836,-0.25983334755784093,0.44,0.2986004676285428,-0.19363483047746333
frr2_no_catch_falling_knife,3,20,0.01,25,18,36,1.44,1.325530745864532,0.49944520982139506,1.1331527464653623,-0.17747551862852917,0.44,0.38511913452180574,-0.1277387449021261
frr3_volume_absorption,1,10,0.01,25,16,21,0.84,0.030920769440096585,0.01472448249983338,0.16558856187748708,-0.22939743045483285,0.2,0.14671719853875986,-0.09410580114343198
frr3_volume_absorption,1,15,0.01,25,16,21,0.84,0.40564602945570494,0.1775530066791433,0.7434790464395146,-0.31452466084136177,0.4,0.24839975686913762,-0.1231654114064753
frr3_volume_absorption,1,20,0.01,25,16,21,0.84,1.7908064520109304,0.6366290847231353,1.3913932670534537,-0.16556655240670115,0.48,0.3959912417632513,-0.1655665524067011
frr3_volume_absorption,2,10,0.01,25,16,21,0.84,0.10001761258322528,0.04681955447107655,0.32411224206259415,-0.1856361331634354,0.28,0.14384615384615373,-0.1321281265199053
frr3_volume_absorption,2,15,0.01,25,16,21,0.84,0.3938212104787655,0.1727876747783319,0.644219074390607,-0.27285339645657003,0.4,0.28363863352627405,-0.17850716398631783
frr3_volume_absorption,2,20,0.01,25,16,21,0.84,2.237733796380761,0.7575826084225945,1.4320291240980914,-0.18993421779581754,0.48,0.4448859380320054,-0.18993421779581737
frr3_volume_absorption,3,10,0.01,25,16,21,0.84,0.1664296165908823,0.07669351763292576,0.4422178344282881,-0.20882149092240376,0.36,0.15341463414634138,-0.1000739041794088
frr3_volume_absorption,3,15,0.01,25,16,21,0.84,0.34695087127664115,0.1536892413366855,0.6212100862820854,-0.25679718429438436,0.44,0.1811966987620357,-0.1682781580817716
